"Estado","Óbitos"
"Rondônia",345
"Acre",123
"Amazonas",1298
"Roraima",108
"Pará",2039
"Amapá",315
"Tocantins",264
"Maranhão",1485
"Piauí",595
"Ceará",3059
"Rio Grande do Norte",1066
"Paraíba",973
"Pernambuco",2833
"Alagoas",744
"Sergipe",677
"Bahia",5430
"Minas Gerais",1733
"Espírito Santo",924
"Rio de Janeiro",3109
"São Paulo",2320
"Paraná",1507
"Santa Catarina",444
"Rio Grande do Sul",1559
"Mato Grosso do Sul",294
"Mato Grosso",609
"Goiás",1082
"Distrito Federal",217
"Total",35152
